infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,passe simple 1p-s,passe simple 2p-s,passe simple 3p-s,passe simple 1p-p,passe simple 2p-p,passe simple 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,imperative 1p-s,imperative 2p-s,imperative 3p-s,imperative 1p-p,imperative 2p-p,imperative 3p-p,passe compose 1p-s,passe compose 2p-s,passe compose 3p-s,passe compose 1p-p,passe compose 2p-p,passe compose 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,imperative 1p-s,past imperative 2p-s,imperative 3p-s,past imperative 1p-p,past imperative 2p-p,imperative 3p-p,gerund
dépeindre,to depict,TRUE,dépeins,dépeins,dépeint,dépeignons,dépeignez,dépeignent,dépeignais,dépeignais,dépeignait,dépeignions,dépeigniez,dépeignaient,dépeignis,dépeignis,dépeignit,dépeignîmes,dépeignîtes,dépeignirent,dépeindrai,dépeindras,dépeindra,dépeindrons,dépeindrez,dépeindront,dépeindrais,dépeindrais,dépeindrait,dépeindrions,dépeindriez,dépeindraient,dépeigne,dépeignes,dépeigne,dépeignions,dépeigniez,dépeignent,dépeignisse,dépeignisses,dépeignît,dépeignissions,dépeignissiez,dépeignissent,N/A,dépeins,N/A,dépeignons,dépeignez,N/A,ai dépeint,as dépeint,a dépeint,avons dépeint,avez dépeint,ont dépeint,avais dépeint,avais dépeint,avait dépeint,avions dépeint,aviez dépeint,avaient dépeint,aurai dépeint,auras dépeint,aura dépeint,aurons dépeint,aurez dépeint,auront dépeint,aurais dépeint,aurais dépeint,aurait dépeint,aurions dépeint,auriez dépeint,auraient dépeint,aie dépeint,aies dépeint,ait dépeint,ayons dépeint,ayez dépeint,aient dépeint,eusse dépeint,eusses dépeint,eût dépeint,eussions dépeint,eussiez dépeint,eussent dépeint,eus dépeint,eus dépeint,eut dépeint,eûmes dépeint,eûtes dépeint,eurent dépeint,N/A,aie dépeint,N/A,ayons dépeint,ayez dépeint,N/A,dépeignant
devenir,to become,TRUE,deviens,deviens,devient,devenons,devenez,deviennent,devenais,devenais,devenait,devenions,deveniez,devenaient,devins,devins,devint,devînmes,devîntes,devinrent,deviendrai,deviendras,deviendra,deviendrons,deviendrez,deviendront,deviendrais,deviendrais,deviendrait,deviendrions,deviendriez,deviendraient,devienne,deviennes,devienne,devenions,deveniez,deviennent,devinsse,devinsses,devînt,devinssions,devinssiez,devinssent,N/A,deviens,N/A,devenons,devenez,N/A,suis devenu,es devenu,est devenu,sommes devenu,êtes devenu,sont devenu,étais devenu,étais devenu,était devenu,étions devenu,étiez devenu,étaient devenu,serai devenu,seras devenu,sera devenu,serons devenu,serez devenu,seront devenu,serais devenu,serais devenu,serait devenu,serions devenu,seriez devenu,seraient devenu,sois devenu,sois devenu,soit devenu,soyons devenu,soyez devenu,soient devenu,fusse devenu,fusses devenu,fût devenu,fussions devenu,fussiez devenu,fussent devenu,fus devenu,fus devenu,fut devenu,fûmes devenu,fûtes devenu,fûrent devenu,N/A,sois devenu,N/A,soyons devenu,soyez devenu,N/A,devenant
développer,to develop,FALSE,développe,développes,développe,développons,développez,développent,développais,développais,développait,développions,développiez,développaient,développai,développas,développa,développâmes,développâtes,développèrent,développerai,développeras,développera,développerons,développerez,développeront,développerais,développerais,développerait,développerions,développeriez,développeraient,développe,développes,développe,développions,développiez,développent,développasse,développasses,développât,développassions,développassiez,développassent,N/A,développe,N/A,développons,développez,N/A,ai développé,as développé,a développé,avons développé,avez développé,ont développé,avais développé,avais développé,avait développé,avions développé,aviez développé,avaient développé,aurai développé,auras développé,aura développé,aurons développé,aurez développé,auront développé,aurais développé,aurais développé,aurait développé,aurions développé,auriez développé,auraient développé,aie développé,aies développé,ait développé,ayons développé,ayez développé,aient développé,eusse développé,eusses développé,eût développé,eussions développé,eussiez développé,eussent développé,eus développé,eus développé,eut développé,eûmes développé,eûtes développé,eurent développé,N/A,aie développé,N/A,ayons développé,ayez développé,N/A,développant
dépêcher,to hurry,FALSE,dépêche,dépêches,dépêche,dépêchons,dépêchez,dépêchent,dépêchais,dépêchais,dépêchait,dépêchions,dépêchiez,dépêchaient,dépêchai,dépêchas,dépêcha,dépêchâmes,dépêchâtes,dépêchèrent,dépêcherai,dépêcheras,dépêchera,dépêcherons,dépêcherez,dépêcheront,dépêcherais,dépêcherais,dépêcherait,dépêcherions,dépêcheriez,dépêcheraient,dépêche,dépêches,dépêche,dépêchions,dépêchiez,dépêchent,dépêchasse,dépêchasses,dépêchât,dépêchassions,dépêchassiez,dépêchassent,N/A,dépêche,N/A,dépêchons,dépêchez,N/A,ai dépêché,as dépêché,a dépêché,avons dépêché,avez dépêché,ont dépêché,avais dépêché,avais dépêché,avait dépêché,avions dépêché,aviez dépêché,avaient dépêché,aurai dépêché,auras dépêché,aura dépêché,aurons dépêché,aurez dépêché,auront dépêché,aurais dépêché,aurais dépêché,aurait dépêché,aurions dépêché,auriez dépêché,auraient dépêché,aie dépêché,aies dépêché,ait dépêché,ayons dépêché,ayez dépêché,aient dépêché,eusse dépêché,eusses dépêché,eût dépêché,eussions dépêché,eussiez dépêché,eussent dépêché,eus dépêché,eus dépêché,eut dépêché,eûmes dépêché,eûtes dépêché,eurent dépêché,N/A,aie dépêché,N/A,ayons dépêché,ayez dépêché,N/A,dépêchant
descendre,to descend,TRUE,descends,descends,descend,descendons,descendez,descendent,descendais,descendais,descendait,descendions,descendiez,descendaient,descendis,descendis,descendit,descendîmes,descendîtes,descendirent,descendrai,descendras,descendra,descendrons,descendrez,descendront,descendrais,descendrais,descendrait,descendrions,descendriez,descendraient,descende,descendes,descende,descendions,descendiez,descendent,descendisse,descendisses,descendît,descendissions,descendissiez,descendissent,N/A,descends,N/A,descendons,descendez,N/A,suis descendu,es descendu,est descendu,sommes descendu,êtes descendu,sont descendu,étais descendu,étais descendu,était descendu,étions descendu,étiez descendu,étaient descendu,serai descendu,seras descendu,sera descendu,serons descendu,serez descendu,seront descendu,serais descendu,serais descendu,serait descendu,serions descendu,seriez descendu,seraient descendu,sois descendu,sois descendu,soit descendu,soyons descendu,soyez descendu,soient descendu,fusse descendu,fusses descendu,fût descendu,fussions descendu,fussiez descendu,fussent descendu,fus descendu,fus descendu,fut descendu,fûmes descendu,fûtes descendu,fûrent descendu,N/A,sois descendu,N/A,soyons descendu,soyez descendu,N/A,descendant
dépenser,to spend,FALSE,dépense,dépenses,dépense,dépensons,dépensez,dépensent,dépensais,dépensais,dépensait,dépensions,dépensiez,dépensaient,dépensai,dépensas,dépensa,dépensâmes,dépensâtes,dépensèrent,dépenserai,dépenseras,dépensera,dépenserons,dépenserez,dépenseront,dépenserais,dépenserais,dépenserait,dépenserions,dépenseriez,dépenseraient,dépense,dépenses,dépense,dépensions,dépensiez,dépensent,dépensasse,dépensasses,dépensât,dépensassions,dépensassiez,dépensassent,N/A,dépense,N/A,dépensons,dépensez,N/A,ai dépensé,as dépensé,a dépensé,avons dépensé,avez dépensé,ont dépensé,avais dépensé,avais dépensé,avait dépensé,avions dépensé,aviez dépensé,avaient dépensé,aurai dépensé,auras dépensé,aura dépensé,aurons dépensé,aurez dépensé,auront dépensé,aurais dépensé,aurais dépensé,aurait dépensé,aurions dépensé,auriez dépensé,auraient dépensé,aie dépensé,aies dépensé,ait dépensé,ayons dépensé,ayez dépensé,aient dépensé,eusse dépensé,eusses dépensé,eût dépensé,eussions dépensé,eussiez dépensé,eussent dépensé,eus dépensé,eus dépensé,eut dépensé,eûmes dépensé,eûtes dépensé,eurent dépensé,N/A,aie dépensé,N/A,ayons dépensé,ayez dépensé,N/A,dépensant
dénoncer,to denounce,FALSE,dénonce,dénonces,dénonce,dénonçons,dénoncez,dénoncent,dénonçais,dénonçais,dénonçait,dénoncions,dénonciez,dénonçaient,dénonçai,dénonças,dénonça,dénonçâmes,dénonçâtes,dénoncèrent,dénoncerai,dénonceras,dénoncera,dénoncerons,dénoncerez,dénonceront,dénoncerais,dénoncerais,dénoncerait,dénoncerions,dénonceriez,dénonceraient,dénonce,dénonces,dénonce,dénoncions,dénonciez,dénoncent,dénonçasse,dénonçasses,dénonçât,dénonçassions,dénonçassiez,dénonçassent,N/A,dénonce,N/A,dénonçons,dénoncez,N/A,ai dénoncé,as dénoncé,a dénoncé,avons dénoncé,avez dénoncé,ont dénoncé,avais dénoncé,avais dénoncé,avait dénoncé,avions dénoncé,aviez dénoncé,avaient dénoncé,aurai dénoncé,auras dénoncé,aura dénoncé,aurons dénoncé,aurez dénoncé,auront dénoncé,aurais dénoncé,aurais dénoncé,aurait dénoncé,aurions dénoncé,auriez dénoncé,auraient dénoncé,aie dénoncé,aies dénoncé,ait dénoncé,ayons dénoncé,ayez dénoncé,aient dénoncé,eusse dénoncé,eusses dénoncé,eût dénoncé,eussions dénoncé,eussiez dénoncé,eussent dénoncé,eus dénoncé,eus dénoncé,eut dénoncé,eûmes dénoncé,eûtes dénoncé,eurent dénoncé,N/A,aie dénoncé,N/A,ayons dénoncé,ayez dénoncé,N/A,dénonçant
détester,to hate,FALSE,déteste,détestes,déteste,détestons,détestez,détestent,détestais,détestais,détestait,détestions,détestiez,détestaient,détestai,détestas,détesta,détestâmes,détestâtes,détestèrent,détesterai,détesteras,détestera,détesterons,détesterez,détesteront,détesterais,détesterais,détesterait,détesterions,détesteriez,détesteraient,déteste,détestes,déteste,détestions,détestiez,détestent,détestasse,détestasses,détestât,détestassions,détestassiez,détestassent,N/A,déteste,N/A,détestons,détestez,N/A,ai détesté,as détesté,a détesté,avons détesté,avez détesté,ont détesté,avais détesté,avais détesté,avait détesté,avions détesté,aviez détesté,avaient détesté,aurai détesté,auras détesté,aura détesté,aurons détesté,aurez détesté,auront détesté,aurais détesté,aurais détesté,aurait détesté,aurions détesté,auriez détesté,auraient détesté,aie détesté,aies détesté,ait détesté,ayons détesté,ayez détesté,aient détesté,eusse détesté,eusses détesté,eût détesté,eussions détesté,eussiez détesté,eussent détesté,eus détesté,eus détesté,eut détesté,eûmes détesté,eûtes détesté,eurent détesté,N/A,aie détesté,N/A,ayons détesté,ayez détesté,N/A,détestant
déplaire,to displease,TRUE,déplais,déplais,déplaît;déplait,déplaisons,déplaisez,déplaisent,déplaisais,déplaisais,déplaisait,déplaisions,déplaisiez,déplaisaient,déplus,déplus,déplut,déplûmes,déplûtes,déplurent,déplairai,déplairas,déplaira,déplairons,déplairez,déplairont,déplairais,déplairais,déplairait,déplairions,déplairiez,déplairaient,déplaise,déplaises,déplaise,déplaisions,déplaisiez,déplaisent,déplusse,déplusses,déplût,déplussions,déplussiez,déplussent,N/A,déplais,N/A,déplaisons,déplaisez,N/A,ai déplu,as déplu,a déplu,avons déplu,avez déplu,ont déplu,avais déplu,avais déplu,avait déplu,avions déplu,aviez déplu,avaient déplu,aurai déplu,auras déplu,aura déplu,aurons déplu,aurez déplu,auront déplu,aurais déplu,aurais déplu,aurait déplu,aurions déplu,auriez déplu,auraient déplu,aie déplu,aies déplu,ait déplu,ayons déplu,ayez déplu,aient déplu,eusse déplu,eusses déplu,eût déplu,eussions déplu,eussiez déplu,eussent déplu,eus déplu,eus déplu,eut déplu,eûmes déplu,eûtes déplu,eurent déplu,N/A,aie déplu,N/A,ayons déplu,ayez déplu,N/A,déplaisant
détourner,to divert,FALSE,détourne,détournes,détourne,détournons,détournez,détournent,détournais,détournais,détournait,détournions,détourniez,détournaient,détournai,détournas,détourna,détournâmes,détournâtes,détournèrent,détournerai,détourneras,détournera,détournerons,détournerez,détourneront,détournerais,détournerais,détournerait,détournerions,détourneriez,détourneraient,détourne,détournes,détourne,détournions,détourniez,détournent,détournasse,détournasses,détournât,détournassions,détournassiez,détournassent,N/A,détourne,N/A,détournons,détournez,N/A,ai détourné,as détourné,a détourné,avons détourné,avez détourné,ont détourné,avais détourné,avais détourné,avait détourné,avions détourné,aviez détourné,avaient détourné,aurai détourné,auras détourné,aura détourné,aurons détourné,aurez détourné,auront détourné,aurais détourné,aurais détourné,aurait détourné,aurions détourné,auriez détourné,auraient détourné,aie détourné,aies détourné,ait détourné,ayons détourné,ayez détourné,aient détourné,eusse détourné,eusses détourné,eût détourné,eussions détourné,eussiez détourné,eussent détourné,eus détourné,eus détourné,eut détourné,eûmes détourné,eûtes détourné,eurent détourné,N/A,aie détourné,N/A,ayons détourné,ayez détourné,N/A,détournant
départir,to accord,TRUE,dépars,dépars,départ,départons,départez,départent,départais,départais,départait,départions,départiez,départaient,départis,départis,départit,départîmes,départîtes,départirent,départirai,départiras,départira,départirons,départirez,départiront,départirais,départirais,départirait,départirions,départiriez,départiraient,départe,départes,départe,départions,départiez,départent,départisse,départisses,départît,départissions,départissiez,départissent,N/A,dépars,N/A,départons,départez,N/A,suis départi,es départi,est départi,sommes départi,êtes départi,sont départi,étais départi,étais départi,était départi,étions départi,étiez départi,étaient départi,serai départi,seras départi,sera départi,serons départi,serez départi,seront départi,serais départi,serais départi,serait départi,serions départi,seriez départi,seraient départi,sois départi,sois départi,soit départi,soyons départi,soyez départi,soient départi,fusse départi,fusses départi,fût départi,fussions départi,fussiez départi,fussent départi,fus départi,fus départi,fut départi,fûmes départi,fûtes départi,fûrent départi,N/A,sois départi,N/A,soyons départi,soyez départi,N/A,départissant
départir,to accord,TRUE,dépars,dépars,départ,départons,départez,départent,départais,départais,départait,départions,départiez,départaient,départis,départis,départit,départîmes,départîtes,départirent,départirai,départiras,départira,départirons,départirez,départiront,départirais,départirais,départirait,départirions,départiriez,départiraient,départe,départes,départe,départions,départiez,départent,départisse,départisses,départît,départissions,départissiez,départissent,N/A,dépars,N/A,départons,départez,N/A,suis départi,es départi,est départi,sommes départi,êtes départi,sont départi,étais départi,étais départi,était départi,étions départi,étiez départi,étaient départi,serai départi,seras départi,sera départi,serons départi,serez départi,seront départi,serais départi,serais départi,serait départi,serions départi,seriez départi,seraient départi,sois départi,sois départi,soit départi,soyons départi,soyez départi,soient départi,fusse départi,fusses départi,fût départi,fussions départi,fussiez départi,fussent départi,fus départi,fus départi,fut départi,fûmes départi,fûtes départi,fûrent départi,N/A,sois départi,N/A,soyons départi,soyez départi,N/A,départant
détruire,to destroy,TRUE,détruis,détruis,détruit,détruisons,détruisez,détruisent,détruisais,détruisais,détruisait,détruisions,détruisiez,détruisaient,détruisis,détruisis,détruisit,détruisîmes,détruisîtes,détruisirent,détruirai,détruiras,détruira,détruirons,détruirez,détruiront,détruirais,détruirais,détruirait,détruirions,détruiriez,détruiraient,détruise,détruises,détruise,détruisions,détruisiez,détruisent,détruisisse,détruisisses,détruisît,détruisissions,détruisissiez,détruisissent,N/A,détruis,N/A,détruisons,détruisez,N/A,ai détruit,as détruit,a détruit,avons détruit,avez détruit,ont détruit,avais détruit,avais détruit,avait détruit,avions détruit,aviez détruit,avaient détruit,aurai détruit,auras détruit,aura détruit,aurons détruit,aurez détruit,auront détruit,aurais détruit,aurais détruit,aurait détruit,aurions détruit,auriez détruit,auraient détruit,aie détruit,aies détruit,ait détruit,ayons détruit,ayez détruit,aient détruit,eusse détruit,eusses détruit,eût détruit,eussions détruit,eussiez détruit,eussent détruit,eus détruit,eus détruit,eut détruit,eûmes détruit,eûtes détruit,eurent détruit,N/A,aie détruit,N/A,ayons détruit,ayez détruit,N/A,détruisant
déranger,to disturb,FALSE,dérange,déranges,dérange,dérangeons,dérangez,dérangent,dérangeais,dérangeais,dérangeait,dérangions,dérangiez,dérangeaient,dérangeai,dérangeas,dérangea,dérangeâmes,dérangeâtes,dérangèrent,dérangerai,dérangeras,dérangera,dérangerons,dérangerez,dérangeront,dérangerais,dérangerais,dérangerait,dérangerions,dérangeriez,dérangeraient,dérange,déranges,dérange,dérangions,dérangiez,dérangent,dérangeasse,dérangeasses,dérangeât,dérangeassions,dérangeassiez,dérangeassent,N/A,dérange,N/A,dérangeons,dérangez,N/A,ai dérangé,as dérangé,a dérangé,avons dérangé,avez dérangé,ont dérangé,avais dérangé,avais dérangé,avait dérangé,avions dérangé,aviez dérangé,avaient dérangé,aurai dérangé,auras dérangé,aura dérangé,aurons dérangé,aurez dérangé,auront dérangé,aurais dérangé,aurais dérangé,aurait dérangé,aurions dérangé,auriez dérangé,auraient dérangé,aie dérangé,aies dérangé,ait dérangé,ayons dérangé,ayez dérangé,aient dérangé,eusse dérangé,eusses dérangé,eût dérangé,eussions dérangé,eussiez dérangé,eussent dérangé,eus dérangé,eus dérangé,eut dérangé,eûmes dérangé,eûtes dérangé,eurent dérangé,N/A,aie dérangé,N/A,ayons dérangé,ayez dérangé,N/A,dérangeant
